# luminosity_distance	mass_1	mass_2	ra	dec
3.811548780233950424e+02 1.151599276411624295e+01 8.320876762335894128e+00 2.188082285062736165e+00 7.220225570371061607e-01
4.234306584494426033e+02 1.562231331008726443e+01 6.340206705346470351e+00 1.575110476873726739e+00 1.263931447122575324e+00
2.396819835340796203e+02 1.609573821729437881e+01 6.181115543436091819e+00 5.350322980499093717e-01 1.243972378482743890e+00
3.990676903204544033e+02 1.692021366804370786e+01 5.964873874449022395e+00 2.175976307235776286e+00 6.832090282679516013e-01
2.932146075865316561e+02 1.023362956318874772e+01 9.224914823648200368e+00 2.037858067372511517e+00 3.210908549370581344e-01
2.474936247796826194e+02 1.447849899223884940e+01 6.743712762446768316e+00 2.131099898115583091e+00 4.534449053961741027e-01
2.024099536058012632e+02 1.278201886093293282e+01 7.520366122390297114e+00 2.155603316594754570e+00 5.165961048157995394e-01
3.216873289722021241e+02 1.550487547784820030e+01 6.363401564521413256e+00 1.049672646842424228e+00 1.327948020402383023e+00
3.023351328644938576e+02 1.133486683165349262e+01 8.283193123480614872e+00 1.974706142720247914e+00 2.798110040804633880e-01
3.575542457771890668e+02 1.205561863426316904e+01 7.901191205872890144e+00 2.149514075661215440e+00 5.070236530205418646e-01
3.451624100660989711e+02 1.050060666819206112e+01 9.124290536601716184e+00 2.132236090231099723e+00 4.165664457569538404e-01
2.461362491003867774e+02 1.003194559781375972e+01 9.457455990947348567e+00 1.976979864465199022e+00 2.387067001682033063e-01
3.829075487047085176e+02 1.450806473055195411e+01 6.762709390794380049e+00 2.218651573473733318e+00 8.186324739057443400e-01
3.963657234793298016e+02 1.467867437184890100e+01 6.691695913641489746e+00 2.182260924607356767e+00 6.072338532459677918e-01
2.895671737702046471e+02 1.429585842009406704e+01 6.824895529322860810e+00 1.965611453221522531e+00 3.180535273371850047e-01
2.071004277576278980e+02 1.050260044420826766e+01 9.153903673148889197e+00 2.038589922322934900e+00 2.822437456957174740e-01
2.632441755701952957e+02 1.140009927224352460e+01 8.357973427108500886e+00 2.062130641904520445e+00 3.331948739298432050e-01
3.535198217791701722e+02 1.011600259073161467e+01 9.436976886097633965e+00 2.231995605307782071e+00 8.408581125606043871e-01
3.148796797370300737e+02 1.182326041830561536e+01 8.116186714173840855e+00 2.188387932093343480e+00 6.849678377316203992e-01
2.820021349239322603e+02 1.198317582129395831e+01 7.914348350061497506e+00 1.944952609651450892e+00 2.199166279869327334e-01
2.947285337173426569e+02 1.256284167336253965e+01 7.608740886381212043e+00 2.084012549213472454e+00 3.524662735546167380e-01
3.438074253981977790e+02 1.035325122080651283e+01 9.079123557177508630e+00 2.226900758457674545e+00 6.756265248972710413e-01
3.201090189500403085e+02 1.368756447562949852e+01 7.109278009387313801e+00 2.086389452269767020e+00 3.446501171408359876e-01
3.293799002220162038e+02 1.086897476424123887e+01 8.749356273069038181e+00 2.040353845489078388e+00 2.757101359214340075e-01
3.802587167859796864e+02 1.085665172541682111e+01 8.712683734216295051e+00 2.127560302514518220e+00 4.770583474593086959e-01
1.364351475217017082e+02 1.128385365024369591e+01 8.436236858129287697e+00 1.905736183346897761e+00 3.154003896886200392e-02
3.951665915424698596e+02 1.023751499451718772e+01 9.232055127115016191e+00 1.876398929980616970e+00 1.122899951407033026e+00
1.820955479988955972e+02 1.026602521245666289e+01 9.283025858763165772e+00 2.013204694647488857e+00 3.008063574742118051e-01
2.460977302223879803e+02 1.369492715484656209e+01 7.100154504906680764e+00 1.038173499166568980e+00 1.280689945254016138e+00
2.822385764909506065e+02 1.010947420013961207e+01 9.415391098417101645e+00 2.161182125105409746e+00 5.114252282798216198e-01
1.900808919609877137e+02 1.249563545787624363e+01 7.678655607638521730e+00 1.969317637999742576e+00 2.143648656915561057e-01
3.390025016719255859e+02 1.235185168886892626e+01 7.744971202905063024e+00 2.079949205250142708e+00 3.702823999364779906e-01
4.155198361622997254e+02 1.039607065996244728e+01 9.136032709636767279e+00 1.852336895810463346e+00 1.259057899106824863e+00
3.880980791734301647e+02 1.579600881809705726e+01 6.259806607964768510e+00 2.174353111866889954e+00 6.307058074290866623e-01
3.969398075247555084e+02 1.093540603277518564e+01 8.733053756911456134e+00 1.680394429468433870e+00 1.264859603257529441e+00
2.425456022508069225e+02 1.791190843987070380e+01 5.683555496931337991e+00 1.935921710658343287e+00 1.996412556506448888e-01
3.136226184893561140e+02 1.132214055849277479e+01 8.383058965360888237e+00 2.058466715798200397e+00 3.394550311391734132e-01
2.710194021400664610e+02 1.047916820025020002e+01 9.138065571553962485e+00 2.177602720274652182e+00 4.730286114928966557e-01
